title,rating,year,genre,poster_url,description
"Batman v Superman: Dawn of Justice",5.7,2016,Action,https://image.tmdb.org/t/p/w500//cGOPbv9wA5gEejkUN892JrveARt.jpg,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before."
"The Post",6.8,2017,Drama,https://image.tmdb.org/t/p/w500//qyRwj5VvuTRdJ76o2grP93grNxt.jpg,"A cover-up that spanned four U.S. Presidents pushed the country's first female newspaper publisher and a hard-driving editor to join an unprecedented battle between journalist and government. Inspired by true events."
"Kingsman: The Golden Circle",7,2017,Action,https://image.tmdb.org/t/p/w500//34xBL6BXNYFqtHO9zhcgoakS4aP.jpg,"When an attack on the Kingsman headquarters takes place and a new villain rises, Eggsy and Merlin are forced to work together with the American agency known as the Statesman to save the world."
"Maze Runner: The Death Cure",7.3,2018,Action,https://image.tmdb.org/t/p/w500//7GgZ6DGezkh3szFdvskH5XD4V0t.jpg,"Thomas leads his group of escaped Gladers on their final and most dangerous mission yet. To save their friends, they must break into the legendary Last City, a WCKD-controlled labyrinth that may turn out to be the deadliest maze of all. Anyone who makes it out alive will get answers to the questions the Gladers have been asking since they first arrived in the maze."
"Jumanji: Welcome to the Jungle",6.4,2017,Action,https://image.tmdb.org/t/p/w500//bXrZ5iHBEjH7WMidbUDQ0U2xbmr.jpg,"The tables are turned as four teenagers are sucked into Jumanji's world - pitted against rhinos, black mambas and an endless variety of jungle traps and puzzles. To survive, they'll play as characters from the game."
"War for the Planet of the Apes",6.8,2017,Drama,https://image.tmdb.org/t/p/w500//3vYhLLxrTtZLysXtIWktmd57Snv.jpg,"Caesar and his apes are forced into a deadly conflict with an army of humans led by a ruthless Colonel. After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the Colonel are pitted against each other in an epic battle that will determine the fate of both their species and the future of the planet."
"Valerian and the City of a Thousand Planets",6.7,2017,Adventure,https://image.tmdb.org/t/p/w500//jfIpMh79fGRqYJ6PwZLCntzgxlF.jpg,"In the 28th century, Valerian and Laureline are special operatives charged with keeping order throughout the human territories. On assignment from the Minister of Defense, the two undertake a mission to Alpha, an ever-expanding metropolis where species from across the universe have converged over centuries to share knowledge, intelligence, and cultures. At the center of Alpha is a mysterious dark force which threatens the peaceful existence of the City of a Thousand Planets, and Valerian and Laureline must race to identify the menace and safeguard not just Alpha, but the future of the universe."
"John Wick: Chapter 2",6.8,2017,Thriller,https://image.tmdb.org/t/p/w500//zkXnKIwX5pYorKJp2fjFSfNyKT0.jpg,"John Wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. Bound by a blood oath to aid him, Wick travels to Rome and does battle against some of the world’s most dangerous killers."
"The Hunger Games: Mockingjay - Part 1",6.7,2014,Science Fiction,https://image.tmdb.org/t/p/w500//gj282Pniaa78ZJfbaixyLXnXEDI.jpg,"Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol."
"Lucy",6.2,2014,Action,https://image.tmdb.org/t/p/w500//rwn876MeqienhOVSSjtUPnwxn0Z.jpg,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic."
